index,title,type,date_raw,year,month,notes,original_line
1.0,,Movie,,2022,October,,96 1
2.0,Karthikeya,Movie,,2022,October,,Karthikeya 2
3.0,Agent Sai Srinivasa Athreya,Movie,,2022,October,,Agent Sai Srinivasa Athreya 3
4.0,Master,Movie,,2022,October,,Master 4
5.0,My Name is Khan,Movie,,2022,October,,My Name is Khan 5
6.0,War,Movie,,2022,October,,War 6
7.0,Shamshera,Movie,,2022,October,,Shamshera 7
8.0,Dark: Season 1,Series,,2022,October,,Dark: Season 1 8
9.0,Harry Potter and the Chamber of Secrets,Movie,,2022,October,,Harry Potter and the Chamber of Secrets 9
10.0,Shutter Island,Movie,,2022,October,,Shutter Island 10
11.0,Harry Potter and the Prisoner of Azkaban,Movie,,2022,October,,Harry Potter and the Prisoner of Azkaban 11
12.0,Thank God,Movie,,2022,October,,Thank God 12
13.0,Gujjubhai: The Most Wanted,Movie,,2022,October,,Gujjubhai: The Most Wanted 13
14.0,Agent Sai Srinivasa Athreya,Movie,,2022,October,,Agent Sai Srinivasa Athreya 14
15.0,Jab We Met (Christmas),Movie,,2022,October,,Jab We Met (Christmas) 15
16.0,Kabhi Khushi Kabhie Gham (31st December),Movie,,2022,October,,Kabhi Khushi Kabhie Gham (31st December) 16
17.0,Shinchan,Movie,,2022,October,,Shinchan 17
18.0,Home Alone,Movie,,2022,October,,Home Alone 18
19.0,Dilwale Dulhania Le Jayenge,Movie,,2022,November,"[THEATRE, 2nd November]",Dilwale Dulhania Le Jayenge 19
20.0,Enola Holmes 2,Movie,,2022,November,,Enola Holmes 2 20
21.0,Black Panther,Movie,,2022,November,,Black Panther 21
22.0,Kantara,Movie,,2022,November,,Kantara 22
23.0,Karthikeya 2,Movie,,2022,November,,Karthikeya 2 23
24.0,Drishyam 2,Movie,,2022,November,[THEATRE (CITYPLUS) 4:50 P.M.],Drishyam 2 24
25.0,": Season 1 (Sunday, 27th November)",Series,,2022,November,,"1899: Season 1 (Sunday, 27th November) 25"
26.0,Sita Ramam ♡,Movie,,2022,December,,Sita Ramam ♡ 26
27.0,"Hamari Adhuri Kahani [December 2, 2022]",Movie,"December 2, 2022",2022,December,,"Hamari Adhuri Kahani [December 2, 2022] 27"
28.0,Ram Setu,Movie,,2022,December,[WATCHED WITH FAMILY IN OUR NEW T.V.],Ram Setu 28
29.0,Ala Vaikunthapurramuloo,Movie,,2022,December,,Ala Vaikunthapurramuloo 29
